Desc	Family ID	Mus_musculus	Cavia_porcellus	Dipodomys_ordii	Heterocephalus_glaber	Octodon_degus	Chinchilla_lanigera	Microtus_ochrogaster	Nannospalax_galili	Marmota_marmota	Castor_canadensis	Meriones_unguiculatus	Urocitellus_parryii	Cricetulus_griseus	Marmota_flaviventris	Peromyscus_maniculatus	Peromyscus_leucopus	Grammomys_surdaster	Mastomys_coucha	Rattus_rattus	Arvicanthis_niloticus	Fukomys_damarensis	Microtus_fortis	Rattus_norvegicus	Ictidomys_tridecemlineatus	Mesocricetus_auratus	Microtus_oregoni	Dipodomys_spectabilis	Jaculus_jaculus	Marmota_monax	Perognathus_longimembris	Mus_caroli	Mus_pahari	Neosciurus_carolinensis	Myodes_glareolus	Arvicola_amphibius	Onychomys_torridus	MGP_CASTEiJ	Mus_spicilegus	MGP_SPRETEiJ	Oryctolagus_cuniculus	Sciurus_vulgaris	Spermophilus_dauricus
(null)	31	14	10	16	13	12	11	13	13	15	12	11	13	11	19	17	16	11	11	18	15	10	11	14	16	13	10	15	13	13	16	16	11	14	14	16	12	19	14	18	12	13	9	
(null)	32	15	7	19	13	3	9	20	30	17	18	5	14	15	10	13	6	14	12	13	11	14	15	16	14	12	63	14	8	12	13	13	16	13	14	17	12	11	12	9	7	0	0	
(null)	33	73	0	2	1	2	2	7	10	6	8	15	3	16	6	29	27	17	19	17	62	6	9	17	5	40	15	3	3	13	6	18	19	3	11	19	26	11	9	11	1	2	0	
(null)	34	20	13	12	9	14	12	13	12	10	19	16	9	3	9	15	12	10	21	7	9	10	11	13	11	10	9	15	12	11	14	18	13	4	4	9	13	33	24	34	16	19	17	
(null)	35	16	12	0	4	14	12	16	5	4	1	19	1	38	5	53	54	23	9	23	17	0	18	25	5	14	18	0	6	6	0	14	14	6	25	15	35	13	13	10	0	0	0	
(null)	36	13	17	17	7	13	16	9	9	7	8	6	8	13	9	21	16	17	16	13	16	8	17	15	11	17	52	17	22	8	18	11	13	12	18	16	23	3	3	3	17	4	2	
(null)	37	19	6	13	19	7	12	14	17	16	15	7	16	13	14	14	10	16	13	16	13	19	11	13	12	14	13	14	10	18	15	19	16	32	14	12	13	14	14	9	6	0	1	
(null)	38	16	11	11	10	15	12	15	13	10	12	8	14	5	10	13	11	9	12	12	12	9	11	14	11	8	19	12	13	12	11	11	13	14	13	11	15	23	21	24	18	26	19	
(null)	39	15	13	16	5	12	14	13	14	5	19	25	12	1	16	5	15	15	10	13	12	10	10	8	9	10	12	15	13	3	12	16	11	12	13	14	11	25	24	24	15	23	16	
(null)	40	13	9	10	9	17	11	20	10	18	15	23	16	5	13	6	16	13	6	15	13	6	11	9	14	9	16	7	8	12	16	12	9	9	10	17	13	30	23	29	10	16	9	
(null)	41	18	15	13	9	9	16	11	14	12	13	13	13	7	11	12	12	12	16	8	10	14	12	15	11	13	10	13	11	11	16	9	11	12	16	11	11	23	22	19	14	19	11	
(null)	42	15	15	11	13	12	16	15	11	13	13	19	6	3	10	24	11	15	8	16	10	9	9	12	13	12	10	16	13	15	13	9	9	11	10	5	18	22	16	21	10	16	21	
(null)	43	8	12	9	23	8	11	9	7	18	29	2	13	8	26	8	10	7	7	8	11	29	11	13	34	11	12	11	2	37	11	7	6	48	10	11	9	7	6	8	29	0	0	
