Desc	Family ID	Mus_musculus	Cavia_porcellus	Dipodomys_ordii	Heterocephalus_glaber	Octodon_degus	Chinchilla_lanigera	Microtus_ochrogaster	Nannospalax_galili	Marmota_marmota	Castor_canadensis	Meriones_unguiculatus	Urocitellus_parryii	Cricetulus_griseus	Marmota_flaviventris	Peromyscus_maniculatus	Peromyscus_leucopus	Grammomys_surdaster	Mastomys_coucha	Rattus_rattus	Arvicanthis_niloticus	Fukomys_damarensis	Microtus_fortis	Rattus_norvegicus	Ictidomys_tridecemlineatus	Mesocricetus_auratus	Microtus_oregoni	Dipodomys_spectabilis	Jaculus_jaculus	Marmota_monax	Perognathus_longimembris	Mus_caroli	Mus_pahari	Neosciurus_carolinensis	Myodes_glareolus	Arvicola_amphibius	Onychomys_torridus	MGP_CASTEiJ	Mus_spicilegus	MGP_SPRETEiJ	Oryctolagus_cuniculus	Sciurus_vulgaris	Spermophilus_dauricus
(null)	3671	2	2	4	1	0	1	2	2	0	0	2	0	1	0	3	3	2	3	1	2	1	3	1	0	1	5	4	0	0	4	2	1	1	0	2	1	0	1	0	0	0	0	
(null)	3672	0	3	1	1	2	5	0	0	3	0	0	1	0	5	0	0	0	0	0	0	0	0	0	6	0	1	2	2	7	1	0	0	5	0	0	1	0	0	0	12	0	0	
(null)	3673	2	2	3	1	1	2	2	2	2	2	1	0	0	2	1	1	2	0	3	1	2	2	1	0	0	1	1	1	0	0	1	1	0	1	1	1	2	3	2	2	4	2	
(null)	3674	2	3	1	1	1	2	1	1	0	0	2	0	1	0	6	1	3	2	1	1	1	1	1	0	3	5	1	1	0	0	3	1	1	3	1	1	1	1	1	2	0	1	
(null)	3675	3	0	1	0	1	1	1	0	1	1	3	1	0	2	1	0	1	0	1	1	0	1	1	0	1	4	1	1	1	1	2	1	2	0	1	0	8	2	8	0	2	2	
(null)	3676	2	0	2	3	0	0	1	0	1	2	2	0	0	0	0	0	2	1	5	1	0	1	0	0	1	0	0	0	1	2	4	2	6	0	0	0	3	5	4	0	3	4	
(null)	3677	2	0	1	0	0	1	1	1	0	0	0	0	0	3	0	2	0	2	1	2	1	1	1	2	1	0	1	0	2	3	1	0	0	2	4	0	6	6	6	1	2	2	
(null)	3678	1	1	0	1	3	1	1	0	1	1	2	1	0	1	1	0	2	4	1	1	0	2	1	0	1	2	0	3	1	0	4	1	0	1	1	3	2	4	3	1	2	3	
(null)	3679	1	1	1	2	0	2	1	1	4	0	0	4	0	0	0	0	1	1	3	2	2	0	1	0	0	3	1	3	5	3	2	1	0	1	5	0	1	1	1	2	1	1	
(null)	3680	6	1	2	0	0	0	1	0	0	2	4	2	0	2	0	1	2	0	2	5	0	0	0	0	4	1	1	0	3	0	0	0	0	0	0	1	7	4	2	0	3	2	
(null)	3681	1	0	1	0	0	0	0	1	1	4	1	0	1	0	1	1	1	1	5	2	0	0	6	0	0	1	1	6	2	1	1	2	3	1	1	3	3	1	1	4	0	0	
(null)	3682	1	1	1	3	1	6	1	2	0	2	1	1	0	1	1	1	7	0	3	1	0	0	1	0	0	1	1	0	4	0	0	0	0	3	2	1	3	2	3	1	1	1	
(null)	3683	1	0	2	0	0	0	0	0	0	3	0	1	0	1	0	0	1	1	0	1	1	0	2	1	1	0	1	0	1	1	0	1	1	1	1	1	10	6	10	1	5	2	
(null)	3684	1	1	2	1	1	2	1	2	1	3	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	0	1	2	1	1	1	1	1	1	5	2	5	0	1	1	
(null)	3685	3	1	1	0	0	0	8	0	0	1	1	0	1	0	5	1	1	3	1	2	5	0	1	0	2	3	1	1	0	1	2	2	0	0	0	0	3	1	3	2	1	1	
(null)	3686	3	2	0	0	0	0	1	0	0	0	2	0	1	1	0	0	1	3	2	1	0	0	2	1	0	0	1	1	0	1	0	0	4	0	1	1	6	5	6	1	9	2	
(null)	3687	4	0	0	4	2	0	2	0	0	0	5	1	0	0	0	0	0	6	3	3	0	0	1	3	2	2	2	0	2	4	3	0	3	0	2	0	1	1	0	1	1	0	
(null)	3688	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	3	2	
(null)	3689	3	1	1	1	0	0	1	2	2	1	4	1	1	1	3	2	1	0	1	1	1	0	1	0	1	2	3	2	1	2	2	1	2	2	2	5	0	1	2	1	0	0	
(null)	3690	11	0	1	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	5	2	0	0	0	9	4	8	1	3	4	
(null)	3691	2	2	0	0	2	3	0	0	6	1	0	2	0	0	0	0	0	0	1	3	0	0	1	0	0	0	2	4	3	3	3	4	0	0	6	0	2	3	0	4	0	1	
(null)	3692	2	2	3	1	1	2	1	0	2	2	1	2	0	1	1	1	1	1	0	1	2	1	2	0	1	1	1	0	0	1	1	1	0	1	2	1	3	4	3	2	2	4	
(null)	3693	5	2	1	2	2	2	2	2	1	1	1	1	1	1	1	0	1	1	1	1	1	0	2	1	0	0	3	0	1	2	1	0	1	1	2	1	2	3	2	2	2	2	
(null)	3694	1	2	2	1	2	4	1	2	4	3	0	1	1	1	0	1	1	3	1	1	1	1	1	4	2	2	2	0	3	3	1	1	1	2	0	1	0	0	0	1	0	0	
(null)	3695	0	2	0	3	1	1	1	0	0	0	1	1	1	1	2	3	3	1	1	1	1	3	1	0	1	6	1	2	0	1	1	1	1	1	4	2	3	1	3	1	1	0	
(null)	3696	2	0	3	2	2	2	0	0	0	3	1	2	1	0	0	0	1	0	2	2	5	1	1	1	2	0	5	0	0	5	1	0	1	1	1	0	3	0	3	3	1	1	
(null)	3697	2	1	0	1	1	1	2	0	2	2	1	1	1	1	1	1	1	1	0	1	2	2	1	0	2	2	1	1	1	1	1	2	3	3	2	0	3	1	3	3	1	2	
(null)	3698	2	1	2	1	1	1	1	3	2	0	3	2	0	2	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	2	1	1	2	4	2	2	3	2	
(null)	3699	2	0	1	3	2	2	1	1	1	1	2	1	0	1	2	2	1	0	1	1	1	2	2	1	1	1	2	7	1	2	1	1	4	1	1	3	0	0	0	2	0	0	
(null)	3700	1	0	1	1	0	1	2	0	2	1	0	2	3	1	1	2	1	1	2	1	3	2	2	1	2	1	0	0	2	1	1	2	6	1	3	1	2	0	2	2	0	1	
(null)	3701	2	0	0	0	1	1	1	0	0	2	4	1	0	3	0	0	0	0	1	1	0	0	1	4	0	7	3	2	0	2	0	2	3	6	0	0	2	1	2	4	1	1	
(null)	3702	3	1	1	1	1	0	1	3	0	2	3	0	2	2	5	0	2	3	0	3	0	0	1	0	3	0	2	1	0	0	2	0	0	0	1	3	4	1	4	1	1	1	
(null)	3703	2	2	1	0	1	0	1	1	0	1	1	0	0	0	2	3	2	4	1	2	4	1	1	2	2	1	1	0	0	1	2	2	0	5	1	1	0	2	4	0	2	2	
(null)	3704	1	2	6	4	0	1	0	2	1	0	0	1	1	1	1	2	1	0	1	0	1	3	1	0	1	1	5	0	1	4	0	4	0	2	3	0	1	3	1	1	1	0	
(null)	3705	4	1	1	0	1	1	2	0	0	3	2	1	1	1	2	2	2	1	4	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	
(null)	3706	1	2	1	3	1	2	0	0	1	3	1	1	4	0	1	0	3	1	2	3	1	0	3	1	8	2	0	1	1	1	1	1	1	1	2	1	1	1	1	0	0	0	
(null)	3707	3	1	1	0	3	1	1	0	0	0	0	0	2	0	2	3	2	1	1	1	0	1	4	0	3	7	0	2	0	3	1	1	0	1	2	4	3	0	0	2	1	1	
(null)	3708	3	2	2	0	2	1	2	1	0	2	1	1	0	1	0	0	2	1	1	1	1	2	2	1	2	1	1	1	1	3	1	1	0	2	2	1	2	2	2	3	4	0	
(null)	3709	1	1	1	1	1	1	1	4	1	1	1	1	4	1	2	1	1	11	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	
(null)	3710	3	1	0	1	0	1	1	1	2	1	1	2	1	2	0	0	2	2	1	2	1	1	1	2	1	1	1	1	2	0	4	2	3	1	1	0	4	1	4	1	1	1	
(null)	3711	2	2	1	0	0	2	2	1	2	1	2	2	3	2	0	0	2	0	3	0	1	0	1	0	0	2	1	2	0	2	2	2	2	0	3	2	2	2	2	2	2	1	
(null)	3712	3	0	3	0	2	0	1	3	1	0	2	0	1	5	2	1	2	0	1	0	0	0	2	3	1	0	0	2	3	0	0	1	1	0	1	1	3	2	2	0	6	3	
(null)	3713	2	0	1	0	2	1	2	1	0	3	3	0	2	1	2	2	2	1	2	2	1	2	2	0	2	2	1	2	1	2	1	2	1	2	1	2	1	1	1	1	1	0	
(null)	3714	1	1	2	0	0	0	1	5	4	1	2	1	1	1	2	2	2	1	0	2	1	0	1	0	0	3	1	3	6	1	2	0	3	0	1	1	1	1	1	2	1	0	
(null)	3715	1	2	1	2	1	1	1	2	1	1	2	1	7	1	2	1	1	0	1	2	1	1	1	2	3	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
(null)	3716	1	1	2	0	1	1	1	0	1	3	1	1	1	1	0	0	0	0	1	0	1	1	2	0	0	0	0	0	1	0	0	0	1	1	1	0	10	5	10	1	4	4	
(null)	3717	1	0	1	0	0	0	0	5	1	1	0	0	1	3	2	0	1	1	0	1	4	8	1	0	2	0	0	1	5	0	0	0	3	3	0	3	3	2	3	0	1	1	
(null)	3718	1	1	1	1	1	1	1	0	2	1	1	2	1	1	1	1	1	1	1	1	0	2	1	2	1	1	2	1	1	1	1	1	5	1	2	1	4	3	4	1	1	1	
(null)	3719	1	0	1	0	2	1	0	1	3	0	1	2	0	3	2	1	1	2	3	2	1	1	2	2	1	1	2	2	5	3	1	1	6	2	0	1	0	0	0	1	0	0	
(null)	3720	1	0	3	0	1	0	0	1	2	1	1	1	0	1	0	0	1	2	1	1	0	0	2	2	1	1	1	1	1	2	2	1	1	1	0	2	6	5	6	0	3	3	
(null)	3721	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	12	2	1	1	1	1	1	2	1	4	1	1	1	1	1	1	1	
(null)	3722	1	0	2	0	1	0	2	3	3	1	1	1	2	1	0	1	1	0	2	4	1	1	2	1	1	1	0	1	1	0	2	1	2	1	3	2	0	9	0	0	2	1	
(null)	3723	2	2	1	1	2	1	2	1	1	2	1	0	0	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	3	2	3	2	2	1	
(null)	3724	2	1	1	1	1	1	2	0	0	2	2	2	2	1	1	0	2	2	2	0	1	2	2	0	1	1	1	0	0	3	2	2	2	2	0	1	2	2	3	1	3	2	
(null)	3725	1	3	1	2	2	0	1	1	3	2	2	1	1	2	2	1	1	3	1	1	0	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	1	1	2	1	
(null)	3726	1	1	1	0	0	1	2	1	1	0	1	0	0	1	1	0	0	5	1	1	0	4	1	0	0	2	3	2	3	0	2	3	0	0	3	2	5	2	5	0	2	1	
(null)	3727	1	1	1	3	0	0	2	1	1	1	1	0	1	1	3	2	0	0	4	2	2	2	1	2	0	1	2	1	0	3	0	2	0	1	1	2	4	1	4	1	2	1	
(null)	3728	1	0	1	1	5	1	1	1	6	1	1	2	2	2	2	2	1	1	2	2	0	0	5	1	0	1	2	1	3	1	2	1	1	0	2	1	0	0	0	2	0	0	
(null)	3729	1	1	0	1	1	2	1	1	8	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	9	0	1	1	2	0	1	1	2	1	2	0	1	2	
(null)	3730	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	4	2	1	1	1	1	2	2	2	1	1	1	1	1	1	4	1	4	0	1	4	
(null)	3731	1	0	1	1	2	0	1	6	2	2	1	2	1	2	3	2	2	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	1	0	2	1	2	0	1	1	
(null)	3732	2	1	1	2	1	1	1	0	1	3	2	2	1	0	0	3	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	2	1	1	1	0	7	6	7	1	4	2	
(null)	3733	2	1	0	0	0	0	0	0	0	4	3	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	12	9	10	0	7	4	
(null)	3734	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	2	7	1	1	1	1	1	0	
(null)	3735	1	1	1	0	1	0	1	0	1	1	2	1	1	1	0	1	1	7	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	0	1	1	5	4	5	1	1	2	
(null)	3736	12	0	0	0	0	0	1	7	3	0	0	0	3	0	0	3	0	1	0	1	1	2	4	0	8	0	0	2	0	0	5	0	1	3	0	1	0	0	0	0	0	0	
(null)	3737	1	1	1	1	1	1	1	1	1	1	2	1	12	1	3	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	
(null)	3738	0	0	0	1	1	0	1	3	1	0	0	1	0	4	1	4	2	2	1	0	0	0	1	3	1	1	1	3	4	2	4	0	4	0	2	0	2	1	4	0	2	1	
(null)	3739	0	1	1	0	1	0	1	1	1	2	1	0	0	1	2	4	1	2	1	1	8	1	4	0	0	1	1	4	1	1	1	1	1	0	1	1	3	3	3	0	1	1	
(null)	3740	3	1	1	1	2	1	1	3	1	2	0	1	1	1	1	1	2	2	3	2	1	1	2	1	1	1	1	1	1	1	3	3	2	1	1	1	2	2	0	1	0	0	
(null)	3741	3	2	0	0	1	0	1	2	4	1	1	1	1	1	2	2	3	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	2	1	1	6	2	6	1	1	1	
(null)	3742	1	1	2	2	1	1	0	1	0	2	0	2	0	1	1	1	2	0	1	0	1	0	2	0	1	1	2	1	0	0	1	0	0	0	1	1	4	5	4	4	7	3	
(null)	3743	3	1	1	0	1	0	4	1	0	3	0	2	0	1	2	1	4	0	0	1	1	1	2	0	0	1	0	2	0	0	2	1	2	0	1	0	6	3	6	0	2	2	
(null)	3744	2	2	1	1	0	2	1	1	1	2	5	1	0	0	1	1	1	2	4	2	1	1	1	0	1	3	2	1	0	0	1	1	1	1	1	1	2	1	2	1	3	2	
(null)	3745	4	1	1	1	1	0	1	1	1	1	2	2	0	2	1	1	1	0	1	0	0	0	1	2	3	3	7	1	8	2	0	0	2	0	2	1	0	0	0	0	3	0	
(null)	3746	2	1	2	0	1	0	0	1	0	3	1	2	1	1	1	1	1	2	1	2	0	1	2	0	1	2	0	1	0	0	0	0	2	0	0	1	7	4	6	1	2	4	
(null)	3747	5	1	2	1	0	1	1	0	1	1	2	1	1	1	4	3	4	1	4	2	1	1	2	0	2	2	1	1	0	0	0	0	2	1	2	1	3	0	0	1	0	1	
(null)	3748	1	1	2	1	0	1	1	1	0	2	1	1	0	0	1	2	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	2	0	1	2	2	5	7	5	1	3	2	
(null)	3749	3	0	2	2	2	2	1	2	1	1	1	1	1	1	1	1	0	0	0	0	1	1	2	1	2	1	1	7	1	3	0	0	1	0	1	1	4	2	4	1	0	1	
(null)	3750	1	4	2	1	2	2	1	4	0	1	2	0	0	0	1	1	0	1	1	2	1	2	1	0	1	2	2	1	0	1	4	2	2	2	1	2	1	1	1	2	1	1	
(null)	3751	2	1	1	0	2	0	0	0	0	3	1	4	2	1	0	0	1	2	1	0	1	0	3	0	0	0	2	0	1	0	0	0	0	1	0	0	6	5	6	1	6	4	
(null)	3752	1	1	0	0	1	2	1	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	8	1	9	5	7	1	7	4	
(null)	3753	1	0	2	0	0	1	0	1	0	1	1	2	1	2	0	1	1	1	2	1	3	0	1	1	1	3	2	1	0	1	1	1	1	1	2	1	5	4	6	1	3	0	
(null)	3754	5	1	1	0	0	0	1	0	1	2	1	1	0	1	1	1	0	0	1	0	0	0	2	1	0	1	1	1	1	1	1	1	1	1	1	1	8	4	7	1	3	3	
(null)	3755	5	0	0	0	1	1	1	0	1	0	4	0	2	1	0	3	1	1	3	1	1	0	2	1	1	1	1	0	1	0	1	1	1	1	2	1	6	1	6	0	3	1	
(null)	3756	1	1	2	0	2	1	1	2	1	2	1	1	1	2	2	2	1	0	1	1	1	0	2	1	0	1	2	1	1	1	0	1	1	2	0	1	4	3	4	0	4	2	
(null)	3757	3	0	6	0	0	2	1	0	0	5	0	0	3	1	0	0	1	7	1	3	0	0	1	0	0	1	5	1	0	0	1	0	3	3	3	1	0	2	0	1	1	1	
(null)	3758	4	1	1	0	1	1	0	0	1	2	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	1	7	8	7	1	7	3	
(null)	3759	1	1	1	1	2	1	1	1	4	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	2	1	1	2	3	1	1	1	2	2	1	1	2	1	2	1	0	1	
(null)	3760	4	0	3	1	1	0	0	1	0	1	1	0	2	0	2	1	2	3	1	2	1	3	1	1	0	4	0	2	0	0	0	0	0	0	0	2	7	0	7	1	0	3	
(null)	3761	2	1	1	1	1	1	2	1	1	3	1	1	0	1	3	1	2	2	1	3	1	2	1	2	1	2	1	1	1	1	1	1	1	2	2	2	2	1	2	0	1	0	
(null)	3762	2	1	2	1	1	1	2	0	0	1	3	0	0	3	1	0	0	0	1	2	1	0	2	1	1	1	1	0	1	0	2	1	0	2	0	2	3	8	3	1	4	2	
(null)	3763	1	2	2	0	2	1	2	1	0	0	2	1	1	0	0	0	1	0	1	1	1	2	0	1	0	1	0	0	0	1	1	2	6	1	1	1	4	4	4	1	5	3	
(null)	3764	5	2	0	1	1	1	1	0	0	0	1	1	0	2	0	0	1	1	2	2	0	1	2	1	0	1	1	1	1	2	1	0	0	1	1	2	4	6	4	2	3	2	
(null)	3765	1	2	0	0	0	1	1	2	4	1	1	1	4	2	4	5	4	2	1	1	1	1	1	2	5	0	0	0	3	0	0	1	2	1	0	2	0	1	0	0	0	0	
(null)	3766	2	2	2	0	1	1	1	1	0	1	2	1	1	2	1	1	1	2	2	1	1	1	2	0	1	1	1	1	0	2	2	1	1	1	1	1	4	3	4	1	1	2	
(null)	3767	1	2	1	2	3	1	1	1	2	1	1	1	1	1	1	1	1	4	1	1	1	1	0	1	1	1	1	1	2	1	1	1	4	3	0	3	1	1	1	2	1	1	
(null)	3768	2	1	2	1	0	1	0	0	3	1	1	0	1	1	2	2	2	3	1	2	1	2	1	0	1	1	1	2	2	2	2	2	1	2	3	2	1	1	1	1	1	1	
(null)	3769	1	1	1	3	1	7	1	1	2	1	1	3	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	
(null)	3770	3	1	1	1	0	1	1	1	3	1	2	1	0	2	0	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	0	0	0	2	2	3	2	1	6	3	
(null)	3771	2	1	1	1	1	1	1	1	2	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	3	2	1	4	2	4	1	0	0	
(null)	3772	3	3	1	0	1	2	0	1	0	1	3	2	3	2	0	2	3	5	0	3	0	0	1	3	0	0	1	0	0	1	0	3	0	2	0	2	0	2	4	1	1	1	
(null)	3773	2	0	2	4	4	0	1	0	0	1	2	0	1	2	2	3	0	1	2	1	0	2	3	0	3	2	3	0	0	0	2	2	0	3	3	2	1	0	0	1	1	1	
(null)	3774	4	0	2	1	1	0	1	0	0	1	1	2	0	1	1	0	1	0	1	1	2	1	2	0	1	0	0	0	0	2	0	1	2	1	3	1	4	6	3	1	4	5	
(null)	3775	0	2	3	4	1	3	1	1	1	1	0	0	0	0	1	2	1	1	0	0	2	1	2	2	0	1	1	0	1	0	1	1	1	2	0	1	6	1	6	0	5	1	
(null)	3776	4	1	2	0	2	1	1	1	1	2	2	1	1	2	1	1	1	3	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	3	2	0	
(null)	3777	6	1	1	0	3	1	2	3	0	1	2	1	0	2	2	1	1	1	0	1	0	1	1	0	0	1	1	0	0	4	1	2	1	0	1	2	2	2	2	2	2	3	
(null)	3778	1	2	1	1	1	2	1	2	1	3	1	2	0	1	0	1	1	1	3	1	2	0	2	1	0	1	2	2	1	1	0	0	0	2	1	2	3	5	3	0	2	1	
(null)	3779	1	1	1	1	4	3	1	0	2	0	2	1	0	3	2	0	1	2	1	1	0	1	1	1	1	1	2	4	2	2	1	1	1	1	2	1	2	1	2	2	0	1	
(null)	3780	1	1	1	1	2	1	1	0	1	3	1	1	1	1	3	2	1	1	2	1	1	3	3	1	1	2	2	1	1	2	1	1	1	2	1	2	1	1	0	1	2	1	
(null)	3781	1	1	3	2	1	1	2	1	1	1	2	0	0	0	0	4	2	1	1	1	5	0	2	0	0	1	0	4	0	0	1	1	4	2	2	1	4	0	4	0	0	1	
(null)	3782	2	2	2	0	0	2	1	0	0	3	2	0	0	1	5	0	0	0	0	0	0	0	2	0	0	1	0	2	1	0	1	1	1	0	0	1	6	8	7	1	4	1	
(null)	3783	1	1	1	1	1	1	2	1	1	1	1	1	1	1	4	2	2	2	2	1	0	1	1	2	2	2	1	2	1	1	3	2	1	1	1	1	1	1	1	3	1	0	
(null)	3784	1	2	4	1	2	2	1	0	1	0	1	1	0	0	1	1	0	1	1	0	2	1	2	1	1	1	1	1	0	0	1	5	1	1	1	0	3	4	3	1	5	2	
(null)	3785	1	1	1	1	2	1	1	1	2	1	1	1	1	2	3	2	1	1	1	1	0	3	1	2	1	2	3	2	5	2	1	2	2	2	1	1	0	0	0	1	0	0	
(null)	3786	2	1	2	1	1	1	3	0	3	1	0	0	0	2	1	0	2	0	1	2	1	2	2	1	0	2	3	2	0	2	1	1	1	0	1	1	4	2	4	0	2	2	
(null)	3787	1	1	2	1	2	2	2	1	1	3	1	0	0	1	1	1	1	1	2	1	0	1	1	1	2	1	4	1	2	4	1	1	1	1	1	1	1	0	1	4	2	1	
(null)	3788	1	1	1	1	2	1	2	1	3	1	1	1	0	2	1	1	2	1	2	2	1	2	3	2	1	3	1	1	1	1	1	1	1	3	2	2	1	1	1	1	0	0	
(null)	3789	2	1	2	3	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	2	2	1	2	2	1	2	1	1	0	2	1	1	
(null)	3790	1	1	1	0	0	7	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	6	2	1	1	1	1	3	1	1	1	1	1	1	0	0	0	9	0	0	
(null)	3791	1	3	0	1	0	1	1	2	2	1	1	0	0	2	4	0	1	2	1	2	0	2	1	2	5	1	1	1	2	2	2	2	1	0	0	2	4	2	0	0	1	1	
(null)	3792	1	2	2	0	0	0	1	0	0	2	2	2	1	1	2	2	1	1	1	1	2	1	2	1	0	3	1	0	0	1	1	1	1	2	1	2	5	2	4	0	3	2	
(null)	3793	1	1	0	2	1	1	2	2	1	3	2	1	1	1	2	2	2	1	1	1	3	1	1	1	0	1	0	2	1	1	2	1	1	2	1	3	2	1	2	1	1	1	
(null)	3794	0	2	1	0	2	0	1	2	0	1	2	1	3	0	0	0	0	0	1	0	0	0	1	2	0	1	3	3	0	3	4	2	0	0	3	0	5	2	5	1	5	1	
(null)	3795	0	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	2	2	2	2	2	10	1	2	2	2	1	0	1	1	1	0	2	2	0	1	0	0	
(null)	3796	1	1	1	0	1	1	1	0	3	2	1	2	0	1	1	0	1	1	2	1	1	1	2	1	0	1	1	1	1	1	1	1	0	2	2	0	5	4	5	1	2	2	
(null)	3797	2	1	1	1	2	0	2	4	0	0	1	1	1	1	1	2	2	1	1	2	1	0	1	0	1	1	0	1	0	1	2	3	0	5	1	5	2	1	2	2	0	1	
(null)	3798	1	0	0	0	3	1	2	2	1	1	2	1	2	5	1	2	1	0	0	0	0	2	1	2	2	2	2	2	2	2	0	0	2	2	2	2	2	1	2	1	0	0	
(null)	3799	3	1	1	1	0	1	2	1	1	1	2	0	1	1	0	2	1	2	2	1	2	2	2	0	2	4	2	1	0	1	1	1	2	1	2	1	2	1	2	1	2	0	
(null)	3800	3	2	1	0	0	0	0	1	1	0	0	1	0	0	0	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	7	11	11	1	8	1	
(null)	3801	4	1	1	0	1	0	1	0	0	1	3	0	1	0	1	0	1	0	2	0	0	2	2	1	0	0	1	0	1	0	0	0	0	1	1	0	7	6	7	1	5	4	
(null)	3802	5	1	2	2	8	2	2	0	1	2	3	0	1	1	0	0	1	1	1	1	4	1	2	0	0	0	3	0	1	1	1	1	1	0	0	0	2	1	1	1	1	1	
(null)	3803	1	1	1	0	1	1	1	1	1	2	1	1	0	1	0	1	1	1	2	2	1	1	2	1	2	2	1	2	1	1	1	2	2	1	1	2	2	3	3	0	3	2	
(null)	3804	4	1	0	0	0	0	0	0	1	2	0	0	0	2	1	1	0	1	1	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	2	0	8	11	8	0	5	3	
(null)	3805	2	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	2	0	0	2	0	0	0	0	0	1	11	8	11	2	4	3	
(null)	3806	3	0	0	1	0	0	1	0	0	4	3	2	0	1	0	0	2	0	5	2	0	0	2	0	0	6	0	0	0	0	1	0	3	0	0	4	4	0	4	1	3	4	
(null)	3807	4	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	3	1	2	0	0	1	0	0	0	0	1	0	1	0	0	3	8	6	8	1	4	4	
(null)	3808	1	0	2	0	5	0	1	0	1	2	0	1	1	1	4	3	1	3	2	2	0	3	1	0	2	0	2	1	2	1	2	1	0	2	2	1	0	0	0	4	1	1	
(null)	3809	6	0	0	0	0	0	0	0	0	0	2	0	1	0	2	1	3	4	5	7	0	0	8	1	4	1	0	1	0	0	1	2	0	0	0	2	2	2	1	0	0	0	
(null)	3810	3	2	2	0	2	1	0	3	0	3	2	0	1	0	1	1	2	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	5	4	5	1	2	2	
(null)	3811	1	3	1	1	5	3	2	0	1	2	5	1	0	0	3	4	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	6	2	1	1	4	2	1	
(null)	3812	2	3	2	0	1	3	3	1	0	3	1	1	0	3	2	2	2	1	1	2	0	2	1	0	1	1	1	1	1	2	1	1	2	1	1	2	2	0	2	1	0	0	
(null)	3813	4	1	1	0	2	1	2	0	0	1	1	1	1	0	0	2	1	2	1	1	1	4	3	1	0	2	1	1	0	1	1	2	0	1	1	0	1	5	1	1	4	3	
(null)	3814	2	0	1	0	1	0	0	2	1	1	2	0	0	0	3	2	0	2	2	2	0	0	2	0	0	0	0	0	0	0	2	0	1	0	3	2	6	4	6	0	5	4	
(null)	3815	1	0	1	1	2	1	1	0	1	1	1	1	0	2	0	2	1	1	3	2	0	2	1	1	1	2	1	2	2	2	1	2	0	1	2	3	2	3	2	1	1	2	
(null)	3816	1	1	2	2	2	0	0	0	4	1	1	1	1	1	0	1	1	0	0	2	1	3	1	0	2	3	2	0	0	1	2	2	2	1	3	2	3	1	3	0	1	2	
(null)	3817	4	0	1	2	3	4	0	0	0	0	0	0	0	0	5	7	1	1	0	0	0	4	1	0	1	5	0	2	5	2	4	0	0	1	2	0	0	0	0	0	0	1	
